Fecha,Muertes,Casos_Confirmados,Tasa_de_Contagio
2020-03-22,2,251,251
2020-03-23,3,316,65
2020-03-24,4,367,51
2020-03-25,5,405,38
2020-03-26,6,475,70
2020-03-27,8,585,110
2020-03-28,12,717,132
2020-03-29,16,848,131
2020-03-30,20,993,145
2020-03-31,28,1094,101
2020-04-01,29,1215,121
2020-04-02,37,1378,163
2020-04-03,50,1510,132
2020-04-04,60,1688,178
2020-04-05,79,1890,202
2020-04-06,94,2143,253
2020-04-07,125,2439,296
2020-04-08,141,2785,346
2020-04-09,174,3181,396
2020-04-10,194,3441,260
2020-04-11,233,3844,403
2020-04-12,273,4219,375
2020-04-13,296,4661,442
2020-04-14,332,5014,353
2020-04-15,406,5399,385
2020-04-16,449,5847,448
2020-04-17,486,6297,450
2020-04-18,546,6875,578
2020-04-19,650,7497,622
2020-04-20,686,8261,764
2020-04-21,712,8772,511
2020-04-22,857,9501,729
2020-04-24,1069,11633,2132
2020-04-25,1221,12872,1239
2020-04-26,1305,13842,970
2020-04-27,1351,14677,835
2020-04-28,1434,15529,852
2020-04-29,1569,16752,1223
2020-04-30,1732,17799,1047
2020-05-01,1859,19224,1425
2020-05-02,1972,20739,1515
2020-05-03,2061,22088,1349
2020-05-04,2154,23471,1383
2020-05-05,2271,24905,1434
2020-05-06,2507,26025,1120
2020-05-07,2704,27634,1609
2020-05-08,2961,29616,1982
2020-05-09,3160,31522,1906
2020-05-10,3353,33460,1938
2020-05-11,3465,35022,1562
2020-05-12,3573,36327,1305
2020-05-13,3926,38324,1997
2020-05-14,4220,40186,1862
2020-05-15,4477,42595,2409
2020-05-16,4767,45032,2437
2020-05-17,5045,47144,2112
2020-05-18,5177,49219,2075
2020-05-19,5332,51633,2414
2020-05-20,5666,54346,2713
2020-05-21,6090,56594,2248
2020-05-22,6510,59567,2973
2020-05-23,6989,62527,2960
2020-05-24,7179,65856,3329
2020-05-25,7394,68620,2764
2020-05-26,7633,71105,2485
2020-05-27,8134,74560,3455
2020-05-28,8597,78023,3463
2020-05-29,9044,81400,3377
2020-05-30,9415,84627,3227
2020-05-31,9779,87512,2885
2020-06-01,9930,90664,3152
2020-06-02,10167,93435,2771
2020-06-03,10637,97326,3891
2020-06-04,11729,101238,3912
2020-06-05,12545,105680,4442
2020-06-06,13170,110026,4346
2020-06-07,13511,113619,3593
2020-06-08,13699,117103,3484
2020-06-09,14053,120102,2999
2020-06-10,14649,124301,4199
2020-06-11,15357,129184,4883
2020-06-12,15944,133974,4790
2020-06-13,16448,139196,5222
2020-06-14,16872,142690,3494
2020-06-15,17141,146837,4147
2020-06-16,17580,150264,3427
2020-06-17,18310,154863,4599
2020-06-18,19080,159793,4930
2020-06-19,19747,165455,5662
2020-06-20,20394,170485,5030
2020-06-21,20781,175202,4717
2020-06-22,21825,180545,5343
2020-06-23,22584,185122,4577
2020-06-24,23377,191410,6288
2020-06-25,24324,196847,5437
2020-06-26,25060,202951,6104
2020-06-27,25779,208392,5441
2020-06-28,26381,212802,4410
2020-06-29,26648,216852,4050
2020-06-30,27121,220657,3805
2020-07-01,27769,226089,5432
2020-07-02,28510,231770,5681
2020-07-03,29189,238511,6741
2020-07-04,29843,245251,6740
2020-07-05,30366,252165,6914
2020-07-06,30639,256848,4683
2020-07-07,31119,261750,4902
2020-07-08,32014,268008,6258
2020-07-09,32796,275003,6995
2020-07-10,33526,282283,7280
2020-07-11,34191,289174,6891
2020-07-12,34730,295268,6094
2020-07-13,35006,299750,4482
2020-07-14,35491,304435,4685
2020-07-15,36327,311486,7051
2020-07-16,36906,317635,6149
2020-07-17,37574,324041,6406
2020-07-18,38310,331298,7257
2020-07-19,38888,338913,7615
