FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Aguascalientes,Mexico,2021-01-02 05:22:33,21.8853,-102.2916,17021,1371,0,15650,"Aguascalientes, Mexico",1186.4341801224703,8.054755889783209
,,Baja California,Mexico,2021-01-02 05:22:33,30.8406,-115.2838,34889,5559,0,29330,"Baja California, Mexico",959.8422831310518,15.933388747169595
,,Baja California Sur,Mexico,2021-01-02 05:22:33,26.0444,-111.6661,17820,784,0,17036,"Baja California Sur, Mexico",2214.4678566635353,4.399551066217733
,,Campeche,Mexico,2021-01-02 05:22:33,19.8301,-90.5349,7273,972,0,6301,"Campeche, Mexico",726.8515326043831,13.364498831293826
,,Chiapas,Mexico,2021-01-02 05:22:33,16.7569,-93.1292,8293,1206,0,7087,"Chiapas, Mexico",144.72022472557168,14.542385144097432
,,Chihuahua,Mexico,2021-01-02 05:22:33,28.633000000000006,-106.0691,36517,4440,0,32077,"Chihuahua, Mexico",960.5977871290892,12.158720595886848
,,Ciudad de Mexico,Mexico,2021-01-02 05:22:33,19.4326,-99.1332,334137,16873,0,317264,"Ciudad de Mexico, Mexico",3704.957895559699,5.049725112753152
,,Coahuila,Mexico,2021-01-02 05:22:33,27.0587,-101.7068,49685,4198,0,45487,"Coahuila, Mexico",1543.6260376795744,8.44923014994465
,,Colima,Mexico,2021-01-02 05:22:33,19.1223,-104.0072,7949,799,0,7150,"Colima, Mexico",1012.4141409381356,10.051578814945277
,,Durango,Mexico,2021-01-02 05:22:33,24.5593,-104.6588,25248,1555,0,23693,"Durango, Mexico",1350.885716181308,6.158903675538657
,,Guanajuato,Mexico,2021-01-02 05:22:33,21.019,-101.2574,83520,5365,0,78155,"Guanajuato, Mexico",1341.0027817137443,6.423611111111111
,,Guerrero,Mexico,2021-01-02 05:22:33,17.4392,-99.5451,26024,2716,0,23308,"Guerrero, Mexico",711.6122074416305,10.43652013525976
,,Hidalgo,Mexico,2021-01-02 05:22:33,20.0911,-98.7624,24599,3429,0,21170,"Hidalgo, Mexico",797.0090856249356,13.93959104028619
,,Jalisco,Mexico,2021-01-02 05:22:33,20.6595,-103.3494,52399,6079,0,46320,"Jalisco, Mexico",623.078630813277,11.601366438290807
,,Mexico,Mexico,2021-01-02 05:22:33,19.4969,-99.7233,147443,19017,0,128426,"Mexico, Mexico",846.0223585434527,12.897865615865115
,,Michoacan,Mexico,2021-01-02 05:22:33,19.5665,-101.7068,33235,2764,0,30471,"Michoacan, Mexico",688.7510488765597,8.316533774635174
,,Morelos,Mexico,2021-01-02 05:22:33,18.6813,-99.1013,9930,1456,0,8474,"Morelos, Mexico",485.7983481877716,14.662638469284994
,,Nayarit,Mexico,2021-01-02 05:22:33,21.7514,-104.8455,7922,1053,0,6869,"Nayarit, Mexico",614.7895614599429,13.292097955061854
,,Nuevo Leon,Mexico,2021-01-02 05:22:33,25.5922,-99.9962,83209,5202,0,78007,"Nuevo Leon, Mexico",1483.1859309362865,6.251727577545698
,,Oaxaca,Mexico,2021-01-02 05:22:33,17.0732,-96.7266,28404,2130,0,26274,"Oaxaca, Mexico",685.4920355353433,7.498943810730883
,,Puebla,Mexico,2021-01-02 05:22:33,19.0414,-98.2063,47636,5755,0,41881,"Puebla, Mexico",721.2711548620771,12.081199093122848
,,Queretaro,Mexico,2021-01-02 05:22:33,20.5888,-100.3899,32582,1890,0,30692,"Queretaro, Mexico",1429.2626413766752,5.8007488797495546
,,Quintana Roo,Mexico,2021-01-02 05:22:33,19.1817,-88.4791,15968,2031,0,13937,"Quintana Roo, Mexico",926.6163704933501,12.719188376753507
,,San Luis Potosi,Mexico,2021-01-02 05:22:33,22.1565,-100.9855,39968,3074,0,36894,"San Luis Potosi, Mexico",1394.4877818335588,7.691152922337871
,,Sinaloa,Mexico,2021-01-02 05:22:33,25.1721,-107.4795,26847,4238,0,22609,"Sinaloa, Mexico",850.483768675511,15.785748873244684
,,Sonora,Mexico,2021-01-02 05:22:33,29.2972,-110.3309,52146,4196,0,47950,"Sonora, Mexico",1695.945517433153,8.04663828481571
,,Tabasco,Mexico,2021-01-02 05:22:33,17.8409,-92.6189,44592,3207,0,41385,"Tabasco, Mexico",1733.5546150176865,7.191872981700754
,,Tamaulipas,Mexico,2021-01-02 05:22:33,24.2669,-98.8363,39416,3281,0,36135,"Tamaulipas, Mexico",1079.7123323769613,8.324030850416074
,,Tlaxcala,Mexico,2021-01-02 05:22:33,19.3139,-98.2404,11351,1420,0,9931,"Tlaxcala, Mexico",822.529675488094,12.509911021055414
,,Unknown,Mexico,2021-01-02 05:22:33,,,0,0,1083768,0,"Unknown, Mexico",,
,,Veracruz,Mexico,2021-01-02 05:22:33,19.1738,-96.1342,43211,6353,0,36858,"Veracruz, Mexico",505.99178300539285,14.702274883710166
,,Yucatan,Mexico,2021-01-02 05:22:33,20.7099,-89.0943,26748,2323,0,24425,"Yucatan, Mexico",1184.0123801623479,8.684761477493645
,,Zacatecas,Mexico,2021-01-02 05:22:33,22.7709,-102.5832,21203,1771,0,19432,"Zacatecas, Mexico",1272.3637293225142,8.35259161439419
,,Aguascalientes,Mexico,2022-01-02 04:20:52,21.8853,-102.2916,39406,3034,,,"Aguascalientes, Mexico",2736.7936792285145,7.727376919746326
,,Baja California,Mexico,2022-01-02 04:20:52,30.8406,-115.2838,91961,11052,,,"Baja California, Mexico",2519.2111515466313,12.042153543737031
,,Baja California Sur,Mexico,2022-01-02 04:20:52,26.0444,-111.6661,62482,2426,,,"Baja California Sur, Mexico",7683.656680435636,3.921980883375653
,,Campeche,Mexico,2022-01-02 04:20:52,19.8301,-90.5349,24428,2106,,,"Campeche, Mexico",2434.098161434395,8.646740022992281
,,Chiapas,Mexico,2022-01-02 04:20:52,16.7569,-93.1292,23660,2297,,,"Chiapas, Mexico",412.78333481956736,9.710831149065697
,,Chihuahua,Mexico,2022-01-02 04:20:52,28.63300000000001,-106.0691,81054,8743,,,"Chihuahua, Mexico",2123.2480868670605,10.823267050734064
,,Ciudad de Mexico,Mexico,2022-01-02 04:20:52,19.4326,-99.1332,1005736,40332,,,"Ciudad de Mexico, Mexico",11127.547430905639,4.0185181863656565
,,Coahuila,Mexico,2022-01-02 04:20:52,27.0587,-101.7068,102367,7810,,,"Coahuila, Mexico",3169.862554058757,7.65174607219516
,,Colima,Mexico,2022-01-02 04:20:52,19.1223,-104.0072,33460,2040,,,"Colima, Mexico",4255.094230041787,6.106139064323984
,,Durango,Mexico,2022-01-02 04:20:52,24.5593,-104.6588,51135,3180,,,"Durango, Mexico",2730.770959381401,6.2286923468787965
,,Guanajuato,Mexico,2022-01-02 04:20:52,21.019000000000002,-101.2574,204538,13393,,,"Guanajuato, Mexico",3275.213043949472,6.562215053974293
,,Guerrero,Mexico,2022-01-02 04:20:52,17.4392,-99.5451,77597,6323,,,"Guerrero, Mexico",2120.86360364972,8.152293033870116
,,Hidalgo,Mexico,2022-01-02 04:20:52,20.0911,-98.7624,63528,7907,,,"Hidalgo, Mexico",2055.1034307127948,12.46590676189125
,,Jalisco,Mexico,2022-01-02 04:20:52,20.6595,-103.3494,166698,17800,,,"Jalisco, Mexico",1979.156670760752,10.694480326361894
,,Mexico,Mexico,2022-01-02 04:20:52,19.4969,-99.7233,384693,44836,,,"Mexico, Mexico",2204.060296801832,11.672164094980982
,,Michoacan,Mexico,2022-01-02 04:20:52,19.5665,-101.7068,74027,8276,,,"Michoacan, Mexico",1533.1990025284945,11.183650298041442
,,Morelos,Mexico,2022-01-02 04:20:52,18.6813,-99.1013,50815,4954,,,"Morelos, Mexico",2482.904105460804,9.757250945775535
,,Nayarit,Mexico,2022-01-02 04:20:52,21.7514,-104.8455,34738,2914,,,"Nayarit, Mexico",2692.362314532921,8.387859222321506
,,Nuevo Leon,Mexico,2022-01-02 04:20:52,25.5922,-99.9962,210664,13746,,,"Nuevo Leon, Mexico",3746.992283454658,6.536258634140772
,,Oaxaca,Mexico,2022-01-02 04:20:52,17.0732,-96.7266,84085,5659,,,"Oaxaca, Mexico",2028.263876302523,6.732268005663768
,,Puebla,Mexico,2022-01-02 04:20:52,19.0414,-98.2063,126801,15731,,,"Puebla, Mexico",1918.978579748718,12.410642427685461
