Year,Estado,Casos_Confirmados,Defunciones
2020,Aguascalientes,16869,1364
2020,Baja California,34271,5458
2020,Baja California Sur,17471,769
2020,Campeche,7243,965
2020,Chiapas,8250,1198
2020,Chihuahua,36184,4401
2020,Ciudad de Mexico,325364,16572
2020,Coahuila,49126,4158
2020,Colima,7849,797
2020,Durango,24977,1536
2020,Guanajuato,81957,5262
2020,Guerrero,25925,2701
2020,Hidalgo,24228,3383
2020,Jalisco,51611,5975
2020,Mexico,144923,18749
2020,Michoacan,32972,2727
2020,Morelos,9675,1442
2020,Nayarit,7824,1048
2020,Nuevo Leon,82035,5142
2020,Oaxaca,28090,2116
2020,Puebla,46940,5681
2020,Queretaro,32039,1873
2020,Quintana Roo,15771,2025
2020,San Luis Potosi,39731,3037
2020,Sinaloa,26610,4213
2020,Sonora,51480,4096
2020,Tabasco,43924,3196
2020,Tamaulipas,39207,3274
2020,Tlaxcala,10953,1408
2020,Veracruz,42967,6316
2020,Yucatan,26597,2266
2020,Zacatecas,20872,1749
2021,Aguascalientes,22088,1666
2021,Baja California,56306,5515
2021,Baja California Sur,42844,1651
2021,Campeche,17049,1141
2021,Chiapas,15377,1098
2021,Chihuahua,43686,4298
2021,Ciudad de Mexico,673214,23745
2021,Coahuila,52395,3638
2021,Colima,25519,1242
2021,Durango,25875,1639
2021,Guanajuato,120990,8120
2021,Guerrero,51537,3618
2021,Hidalgo,38976,4522
2021,Jalisco,114249,11810
2021,Mexico,238072,26073
2021,Michoacan,40919,5545
2021,Morelos,40927,3509
2021,Nayarit,26768,1861
2021,Nuevo Leon,127382,8592
2021,Oaxaca,55867,3538
2021,Puebla,79596,10034
2021,Queretaro,68142,3791
2021,Quintana Roo,45368,2076
2021,San Luis Potosi,68121,3786
2021,Sinaloa,48816,4779
2021,Sonora,71418,5014
2021,Tabasco,100351,2563
2021,Tamaulipas,65043,3844
2021,Tlaxcala,18693,1592
2021,Veracruz,81806,8777
2021,Yucatan,48384,3457
2021,Zacatecas,21949,1701
2022,Aguascalientes,46349,563
2022,Baja California,78235,1481
2022,Baja California Sur,65493,348
2022,Campeche,19507,180
2022,Chiapas,30190,141
2022,Chihuahua,89648,1470
2022,Ciudad de Mexico,775479,3348
2022,Coahuila,80055,1178
2022,Colima,34477,205
2022,Durango,28718,504
2022,Guanajuato,150958,1730
2022,Guerrero,39441,537
2022,Hidalgo,58109,657
2022,Jalisco,120955,2221
2022,Mexico,327802,3134
2022,Michoacan,36638,705
2022,Morelos,42120,393
2022,Nayarit,38029,341
2022,Nuevo Leon,193998,1652
2022,Oaxaca,66655,704
2022,Puebla,83687,947
2022,Queretaro,78258,688
2022,Quintana Roo,55164,340
2022,San Luis Potosi,136240,796
2022,Sinaloa,102443,937
2022,Sonora,75065,1200
2022,Tabasco,73617,384
2022,Tamaulipas,74843,1106
2022,Tlaxcala,27118,124
2022,Veracruz,101728,1965
2022,Yucatan,66263,1239
2022,Zacatecas,37541,484
