Row Labels,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Grand Total
5/21/20,558,3603,476,328,808,1014,15844,749,83,189,821,927,1034,967,9346,1094,1115,349,1016,743,1702,544,1392,524,2161,1020,2716,1077,650,2288,1244,212,56594
5/22/20,586,3780,502,354,895,1093,16758,772,91,194,897,984,1097,1028,9661,1163,1164,362,1036,808,1803,592,1450,558,2243,1124,2824,1105,677,2430,1323,213,59567
5/23/20,609,3944,504,378,971,1121,17690,813,97,211,948,1020,1136,1095,10160,1249,1134,381,1089,902,1859,633,1530,595,2328,1194,2930,1126,691,2601,1365,223,62527
5/24/20,614,4097,521,406,1050,1170,18912,816,100,217,1028,1086,1192,1132,10606,1330,1171,404,1120,964,2015,669,1580,640,2438,1264,3044,1183,749,2689,1419,230,65856
5/25/20,616,4218,533,429,1164,1186,19682,824,112,233,1054,1205,1243,1180,11057,1368,1213,421,1149,1001,2082,688,1609,692,2587,1440,3148,1212,782,2769,1487,236,68620
5/26/20,649,4250,541,443,1224,1193,20235,876,115,246,1127,1301,1319,1238,11523,1402,1232,439,1168,1070,2165,710,1641,692,2794,1451,3236,1289,827,2944,1522,243,71105
5/27/20,676,4421,549,452,1289,1278,20999,917,118,249,1184,1363,1439,1295,12366,1495,1220,457,1222,1109,2320,742,1683,734,2813,1576,3360,1300,858,3258,1567,251,74560
5/28/20,716,4590,557,486,1402,1356,21826,965,128,279,1238,1421,1479,1355,13140,1613,1264,476,1288,1144,2458,786,1729,786,2903,1613,3484,1360,944,3374,1602,261,78023
5/29/20,769,4777,568,522,1471,1400,22698,980,135,304,1320,1584,1544,1432,13679,1710,1302,503,1324,1186,2662,812,1776,815,3014,1650,3672,1441,947,3470,1661,272,81400
5/30/20,797,4886,594,535,1566,1505,23623,1015,136,322,1384,1643,1599,1524,14063,1810,1333,524,1361,1251,2843,833,1815,850,3125,1803,3872,1504,974,3562,1696,279,84627
5/31/20,816,5027,606,563,1711,1569,24265,1084,141,365,1463,1827,1670,1660,14334,1869,1391,552,1372,1333,2918,875,1850,882,3261,1865,4009,1554,1001,3624,1771,284,87512
6/1/20,816,5075,631,583,1869,1616,25018,1084,151,384,1633,1893,1710,1760,14862,1913,1391,580,1419,1416,3046,917,1882,931,3421,2091,4142,1557,1042,3716,1823,292,90664
6/2/20,841,5127,643,608,1928,1627,25787,1088,154,400,1680,1951,1769,1802,15210,1950,1397,620,1481,1512,3117,933,1926,957,3580,2142,4323,1646,1064,4008,1863,301,93435
6/3/20,890,5231,660,612,2013,1696,26509,1169,158,410,1872,2052,1898,2025,15720,2022,1438,638,1523,1623,3239,960,1956,984,3699,2334,4609,1730,1115,4311,1919,311,97326
6/4/20,939,5460,698,635,2039,1731,27326,1254,170,470,2009,2134,2011,2136,16320,2121,1464,654,1626,1771,3446,1017,2010,1026,3903,2467,4807,1793,1151,4367,1961,322,101238
6/5/20,1035,5604,714,679,2158,1771,28389,1307,180,498,2135,2158,2077,2289,17158,2213,1491,695,1725,1883,3611,1050,2072,1086,4036,2676,4997,1848,1206,4586,2012,341,105680
6/6/20,1072,5784,735,688,2283,1807,29580,1350,196,536,2278,2325,2131,2447,17815,2311,1540,722,1758,2000,3804,1106,2116,1124,4237,2727,5068,1952,1257,4871,2059,347,110026
6/7/20,1104,5976,754,727,2487,1829,30223,1420,205,567,2389,2415,2196,2653,18175,2325,1574,752,1798,2092,4014,1159,2161,1192,4405,2865,5293,2077,1317,5007,2100,368,113619
6/8/20,1104,6087,765,757,2610,1909,30831,1513,214,627,2500,2551,2270,2820,18552,2480,1608,786,1915,2210,4236,1179,2179,1230,4551,2984,5474,2179,1336,5136,2130,380,117103
6/9/20,1160,6138,786,792,2613,1917,31493,1560,217,659,2556,2561,2291,2988,18993,2562,1610,814,1967,2323,4369,1218,2197,1301,4762,3049,5667,2305,1413,5283,2150,388,120102
6/10/20,1222,6297,812,814,2779,1963,32256,1612,224,683,2718,2668,2345,3218,19692,2854,1643,838,2010,2392,4497,1257,2235,1375,4866,3310,5750,2395,1449,5529,2195,403,124301
6/11/20,1251,6436,869,848,2868,2073,33173,1658,240,724,2936,2887,2460,3309,20723,2971,1715,870,2121,2452,4742,1307,2283,1424,5062,3376,5949,2506,1492,5751,2285,423,129184
6/12/20,1320,6620,918,904,2959,2103,34077,1846,252,775,3053,3018,2518,3511,21631,3176,1758,907,2222,2537,4988,1346,2329,1524,5191,3548,6093,2582,1554,5913,2340,461,133974
6/13/20,1401,6766,923,925,3099,2150,35272,1884,264,856,3221,3160,2616,3704,22434,3331,1808,951,2333,2798,5166,1375,2384,1570,5314,3715,6284,2811,1624,6133,2423,501,139196
6/14/20,1431,6852,961,963,3143,2222,35954,1909,276,920,3367,3259,2675,3880,22776,3409,1841,985,2456,2938,5388,1404,2443,1650,5366,3837,6479,2968,1692,6245,2487,514,142690
6/15/20,1431,6895,992,997,3241,2271,36879,1969,291,971,3470,3344,2739,4044,23359,3485,1875,1023,2546,3078,5585,1459,2505,1706,5635,3983,6682,3076,1702,6550,2526,528,146837
6/16/20,1467,7039,1002,1032,3309,2281,37503,2053,298,985,3540,3496,2790,4139,23726,3602,1893,1039,2884,3194,5672,1490,2512,1709,5854,4097,6908,3114,1751,6754,2581,550,150264
6/17/20,1561,7120,1040,1056,3402,2345,38117,2288,307,1003,3876,3633,2860,4289,24564,3666,1925,1085,2991,3318,5901,1533,2562,1840,5945,4134,7107,3385,1791,6973,2686,560,154863
6/18/20,1619,7242,1055,1096,3447,2404,38871,2371,324,1090,4061,3782,2983,4495,25227,3984,1980,1131,3245,3450,6284,1574,2659,1922,6019,4192,7330,3520,1849,7235,2772,580,159793
6/19/20,1684,7403,1122,1154,3550,2447,40021,2499,339,1170,4319,3902,3040,4656,26079,4175,2030,1169,3400,3566,6590,1614,2736,2023,6154,4530,7593,3733,1878,7400,2867,612,165455
6/20/20,1757,7559,1128,1207,3617,2482,41007,2626,353,1234,4563,4029,3127,4791,26721,4283,2069,1216,3478,3771,7049,1643,2795,2063,6328,4779,7817,3843,1936,7588,2984,642,170485
6/21/20,1819,7711,1188,1254,3670,2541,41777,2750,363,1321,4797,4179,3183,4922,27241,4477,2104,1266,3634,3906,7336,1691,2855,2164,6478,4958,8130,3960,2000,7780,3077,670,175202
6/22/20,1876,7790,1221,1324,3778,2622,42479,2869,385,1364,4931,4288,3248,5090,28505,4496,2291,1332,3750,4049,7643,1713,2946,2231,6683,5098,8389,4114,2058,8129,3158,695,180545
6/23/20,1906,7898,1254,1383,3850,2638,42903,2912,400,1374,5014,4423,3300,5217,29424,4659,2420,1344,3902,4140,7870,1743,2970,2392,6771,5520,8715,4348,2067,8420,3239,706,185122
6/24/20,1960,8057,1275,1436,3924,2665,43596,3123,428,1393,5449,4611,3420,5528,30011,4785,2495,1380,4092,4224,8427,1764,3011,2455,7315,6188,8956,4524,2134,8662,3409,713,191410
6/25/20,2035,8164,1287,1503,4034,2730,44243,3225,439,1437,5703,4768,3482,5715,31075,5020,2633,1433,4186,4426,8742,1803,3143,2508,7473,6303,9219,4825,2177,8840,3529,747,196847
6/26/20,2071,8272,1324,1581,4146,2839,45125,3479,459,1567,6126,4828,3579,5875,32017,5291,2683,1487,4580,4549,9014,1830,3233,2511,7569,6491,9486,5074,2265,9161,3670,769,202951
6/27/20,2131,8487,1384,1654,4224,2911,45977,3688,484,1653,6402,4933,3647,6054,32667,5393,2734,1538,4690,4825,9301,1867,3303,2618,7763,6677,9752,5214,2303,9520,3803,795,208392
6/28/20,2161,8647,1389,1717,4275,2947,46610,3791,502,1688,6611,5052,3724,6190,33153,5478,2815,1592,4943,4949,9522,1865,3399,2847,7801,6943,9988,5379,2317,9696,3986,825,212802
6/29/20,2219,8722,1437,1810,4339,2958,47047,3999,529,1736,6785,5183,3762,6386,33480,5506,2829,1657,5090,5081,9934,1893,3437,2980,7895,7064,10221,5712,2369,9812,4138,842,216852
6/30/20,2257,8755,1487,1859,4383,3007,47437,4270,542,1787,6995,5311,3782,6497,33696,5568,2850,1676,5282,5175,10227,1935,3539,3018,8111,7407,10463,5819,2439,9973,4223,887,220657
7/1/20,2340,8923,1529,1916,4489,3062,48014,4573,551,1899,7336,5413,3866,6684,34253,5665,2898,1723,5931,5347,10530,1963,3619,3113,8296,7587,10673,5918,2503,10173,4394,908,226089
7/2/20,2363,9221,1578,1998,4612,3112,48568,4883,578,2001,7744,5571,3977,6873,34953,5810,2984,1776,6226,5409,10719,2012,3783,3216,8456,7876,10921,6041,2541,10518,4509,941,231770
7/3/20,2399,9423,1631,2092,4649,3211,49573,5213,603,2080,8062,5652,4079,7030,35631,5996,3032,1840,6656,5671,11161,2052,3947,3324,8613,8337,11165,6553,2591,10671,4601,973,238511
7/4/20,2415,9639,1680,2170,4681,3265,50592,5360,643,2157,8465,5767,4169,7261,36584,6086,3108,1905,6843,5930,11557,2084,4074,3408,8748,8857,11444,6955,2668,10894,4841,1001,245251
7/5/20,2438,9780,1744,2261,4796,3347,51658,5513,664,2254,8914,5954,4224,7507,37360,6162,3147,1959,7227,6128,11874,2135,4196,3541,8902,9093,11857,7215,2809,11477,4972,1057,252165
7/6/20,2440,9854,1784,2379,4882,3385,52210,5776,691,2349,9271,6098,4322,7686,37707,6362,3150,2024,7496,6451,12049,2170,4245,3641,8961,9270,12237,7266,2929,11571,5087,1105,256848
7/7/20,2530,9892,1811,2452,4959,3426,52658,5997,715,2380,9596,6198,4349,7915,38201,6469,3179,2037,7845,6543,12250,2216,4333,3790,9163,9520,12578,7442,2958,11979,5229,1140,261750
7/8/20,2624,10143,1897,2523,5020,3484,53423,6247,726,2409,9893,6488,4446,8081,39108,6570,3195,2072,8090,6635,12475,2262,4447,3877,9333,10101,12878,7656,3046,12341,5355,1163,268008
7/9/20,2731,10286,1937,2606,5050,3552,54405,6484,757,2447,10295,6734,4515,8274,40087,6642,3232,2141,8428,6924,12841,2290,4570,3978,9526,10421,13255,8013,3093,12739,5538,1212,275003
7/10/20,2775,10429,2109,2693,5086,3652,55344,6659,775,2535,10707,6949,4583,8582,40957,6892,3278,2197,8942,7228,13301,2343,4763,4054,9631,10782,13622,8286,3149,13032,5697,1251,282283
7/11/20,2829,10649,2176,2764,5123,3731,56602,6841,821,2625,11239,7179,4676,8797,41529,7008,3316,2244,9140,7438,13752,2407,4824,4170,9775,11220,13999,8582,3235,13293,5890,1300,289174
7/12/20,2875,10772,2324,2847,5159,3784,57271,7003,857,2694,11807,7356,4731,8989,42079,7113,3331,2298,9459,7609,14035,2473,5045,4383,9895,11491,14461,8784,3313,13610,6071,1349,295268
7/13/20,2905,10881,2415,2931,5201,3802,57674,7107,898,2771,12285,7471,4812,9201,42372,7112,3360,2390,9747,7736,14246,2494,5237,4493,10103,11576,14958,8845,3336,13782,6215,1394,299750
7/14/20,2977,10903,2507,2966,5235,3839,58114,7338,931,2849,12541,7632,4864,9327,42753,7288,3375,2414,10212,7778,14349,2539,5361,4654,10312,11806,15330,9095,3356,14039,6320,1431,304435
7/15/20,3052,11031,2558,3102,5265,3979,58855,7643,939,2878,12942,7918,4960,9511,43544,7394,3389,2456,10575,7964,14691,2599,5435,4777,10563,12347,15529,9508,3416,14594,6584,1488,311486
