Fecha,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Grand Total
5/21/20,21,606,28,48,53,208,1618,59,10,20,80,136,180,95,563,97,205,37,56,84,231,58,271,24,326,49,346,74,109,274,97,27,6090
5/22/20,21,637,29,50,64,224,1754,62,12,23,84,147,193,96,622,107,210,38,58,89,244,61,280,25,354,53,361,76,117,292,100,27,6510
5/23/20,25,648,31,50,67,245,1854,64,14,26,85,154,201,102,809,110,228,40,62,93,244,69,283,26,366,56,371,80,119,331,109,27,6989
5/24/20,26,653,31,54,68,246,1899,64,14,26,85,163,212,102,842,115,238,41,62,93,251,69,288,26,380,63,387,82,121,341,110,27,7179
5/25/20,26,696,31,54,69,249,1963,65,14,26,88,168,212,107,846,116,236,42,62,100,257,75,291,36,390,69,393,83,122,365,116,27,7394
5/26/20,26,705,32,57,72,255,2024,68,18,26,91,174,215,116,872,119,239,42,67,106,260,78,294,40,406,72,416,86,134,372,123,28,7633
5/27/20,30,740,32,66,84,272,2166,67,19,27,96,189,240,125,943,132,248,45,71,114,268,84,304,41,427,84,424,89,134,416,128,29,8134
5/28/20,32,773,32,70,101,286,2313,72,21,32,101,210,247,128,1002,143,250,46,76,121,307,89,323,46,431,88,436,95,135,430,132,29,8597
5/29/20,33,808,33,76,114,293,2427,73,21,33,101,232,264,133,1046,150,259,49,80,130,335,95,337,49,448,91,470,97,137,460,139,31,9044
5/30/20,33,821,34,81,125,305,2536,75,21,34,105,242,287,136,1087,153,262,51,85,141,346,100,341,49,460,102,485,102,147,495,142,32,9415
5/31/20,35,864,35,83,131,314,2621,77,21,37,107,261,299,139,1148,163,262,52,87,148,349,104,347,50,488,109,508,107,148,506,146,33,9779
6/1/20,35,865,35,90,135,318,2658,81,21,37,107,266,304,143,1159,165,265,53,88,152,350,105,352,51,501,111,520,108,148,518,155,34,9930
6/2/20,35,871,35,91,136,328,2713,81,21,37,112,272,318,151,1168,169,270,59,96,162,359,108,355,54,522,116,533,109,150,537,164,35,10167
6/3/20,35,879,35,92,146,340,2850,81,26,42,116,286,329,167,1205,175,273,68,99,166,392,114,363,57,548,132,562,116,151,581,173,38,10637
6/4/20,36,1013,35,94,162,358,3214,88,27,44,122,305,365,183,1305,194,281,75,103,198,433,124,393,57,624,142,592,126,155,649,193,39,11729
6/5/20,38,1137,38,103,170,372,3456,88,29,47,125,332,374,192,1475,206,288,78,105,205,463,127,401,60,646,156,610,129,170,682,202,41,12545
