Fecha,Personas_1_Vacuna,Personas_2_Dosis,Personas_3_Dosis
2020-12-24,2924,0,0
2020-12-25,2924,0,0
2020-12-26,2924,0,0
2020-12-27,6824,0,0
2020-12-28,9579,0,0
2020-12-29,18529,0,0
2020-12-30,24998,0,0
2020-12-31,24998,0,0
2021-01-01,24998,0,0
2021-01-02,24998,0,0
2021-01-03,24998,0,0
2021-01-04,43960,0,0
2021-01-05,48236,0,0
2021-01-06,53185,0,0
2021-01-07,58402,0,0
2021-01-08,67468,0,0
2021-01-09,74794,0,0
2021-01-10,81300,0,0
2021-01-11,87060,0,0
2021-01-12,92879,0,0
2021-01-13,192567,0,0
2021-01-14,329983,0,0
2021-01-15,415417,1958,0
2021-01-16,461025,2221,0
2021-01-17,468708,3434,0
2021-01-18,485983,6546,0
2021-01-19,488513,9609,0
2021-01-20,489628,11402,0
2021-01-21,534317,18018,0
2021-01-22,594725,20083,0
2021-01-23,596296,22472,0
2021-01-24,604441,25185,0
2021-01-25,616390,28715,0
2021-01-26,621005,31314,0
2021-01-27,624730,31314,0
2021-01-28,626528,31314,0
2021-01-29,630820,31397,0
2021-01-30,631298,39009,0
2021-01-31,631485,41842,0
2021-02-01,631747,43455,0
2021-02-02,631791,45748,0
2021-02-03,632439,54162,0
2021-02-04,634346,60742,0
2021-02-05,636070,64246,0
2021-02-06,637098,73100,0
2021-02-07,637681,75836,0
2021-02-08,638391,79429,0
2021-02-09,638391,79429,0
2021-02-10,640115,84592,0
2021-02-11,640115,85332,0
2021-02-12,640115,85887,0
2021-02-13,640125,86188,0
2021-02-14,640125,86188,0
2021-02-15,663484,86198,0
2021-02-16,829185,86198,0
2021-02-17,958473,99666,0
2021-02-18,958473,99666,0
2021-02-19,1155227,418931,0
2021-02-20,1210886,445418,0
2021-02-21,1236103,453055,0
2021-02-22,1277187,456217,0
2021-02-23,1336854,464302,0
2021-02-24,1425395,475389,0
2021-02-25,1562401,526412,0
2021-02-26,1708721,562311,0
2021-02-27,1818034,565377,0
2021-02-28,1889672,565423,0
2021-03-01,1959525,567338,0
2021-03-02,2012853,570582,0
2021-03-03,2043941,589639,0
2021-03-04,2043941,589639,0
2021-03-05,2128766,603134,0
2021-03-06,2162358,603447,0
2021-03-07,2162358,603447,0
2021-03-08,2245291,604339,0
2021-03-09,2495067,605801,0
2021-03-10,2882000,606000,0
2021-03-11,2882000,606000,0
2021-03-12,3395671,609460,0
2021-03-13,3604420,609874,0
2021-03-14,3730045,609881,0
2021-03-15,3794719,609889,0
2021-03-16,3794719,609889,0
2021-03-17,4110741,626881,0
2021-03-18,4300720,646802,0
2021-03-19,4300720,646802,0
2021-03-20,4763347,695667,0
2021-03-21,4895523,716768,0
2021-03-22,5046896,734463,0
2021-03-23,5046896,734463,0
2021-03-24,5351319,767979,0
2021-03-25,5460096,783790,0
2021-03-26,5675286,811884,0
2021-03-27,5901505,823284,0
2021-03-28,5901505,823284,0
2021-03-29,6167510,850939,0
2021-03-30,6167510,850939,0
2021-03-31,6905214,945839,0
2021-04-01,6905214,945839,0
2021-04-02,7586131,1058315,0
2021-04-03,7903660,1083530,0
2021-04-04,7924236,1111764,0
2021-04-05,8113230,1174175,0
2021-04-06,8372272,1303245,0
2021-04-07,8617038,1472382,0
2021-04-08,9232815,1664658,0
2021-04-09,9426179,1855048,0
2021-04-10,9552933,1976517,0
2021-04-11,9673708,2069821,0
2021-04-12,9871026,2223846,0
2021-04-13,10310521,2632006,0
2021-04-14,10581915,2954683,0
2021-04-15,10837356,3286908,0
2021-04-16,11067294,3681064,0
2021-04-17,11196970,3844491,0
2021-04-18,11253761,3927307,0
2021-04-19,11288822,4111121,0
2021-04-20,11449064,4512826,0
2021-04-21,11622868,4978670,0
2021-04-22,11807897,5347232,0
2021-04-23,11961104,5646105,0
2021-04-24,12038498,5830079,0
2021-04-25,12054021,5917676,0
2021-04-26,12096308,6096954,0
2021-04-27,12096308,6096954,0
2021-04-28,12235767,6752282,0
2021-04-29,12354467,7100269,0
2021-04-30,12477933,7440439,0
2021-05-01,12572997,7650150,0
2021-05-02,12625860,7792707,0
2021-05-03,12740897,7792707,0
2021-05-04,12984236,8418291,0
2021-05-05,13328238,8790655,0
2021-05-06,13715159,9092249,0
2021-05-07,14021482,9325576,0
2021-05-08,14148207,9440251,0
2021-05-09,14176406,9486795,0
2021-05-10,14176406,9486795,0
2021-05-11,14368460,9500000,0
2021-05-12,14673682,9861173,0
2021-05-13,14996844,10108593,0
2021-05-14,14996844,10108593,0
2021-05-15,14996844,10108593,0
2021-05-16,15454195,10604476,0
2021-05-17,15544106,10652500,0
2021-05-18,15544106,10652500,0
2021-05-19,16173646,11131624,0
2021-05-20,16819083,11384107,0
2021-05-21,17386061,11584756,0
2021-05-22,17858127,11720188,0
2021-05-23,18170321,11784494,0
2021-05-24,18338034,11794554,0
2021-05-25,18610667,11832208,0
2021-05-26,19327543,11919690,0
2021-05-27,19327543,11919690,0
2021-05-28,20721248,12204779,0
2021-05-29,21259657,12320589,0
2021-05-30,21636247,12390240,0
2021-05-31,21796967,12415247,0
2021-06-01,22043213,12604789,0
2021-06-02,22633460,12919455,0
2021-06-03,23200887,13417362,0
2021-06-04,23730336,13801863,0
2021-06-05,24098361,14118256,0
2021-06-06,24098361,14118256,0
2021-06-07,24224273,14193288,0
2021-06-08,24570319,14358881,0
2021-06-09,25306211,14639188,0
2021-06-10,25465992,14747978,0
2021-06-11,25860841,14911487,0
2021-06-12,26081614,15003652,0
2021-06-13,26251224,15062873,0
2021-06-14,26422800,15175659,0
2021-06-15,26665789,15383285,0
2021-06-16,26886856,15551250,0
2021-06-17,27253174,15825432,0
2021-06-18,27543142,16177003,0
2021-06-19,27753807,16526469,0
2021-06-20,27896212,16695831,0
2021-06-21,28198409,17047687,0
2021-06-22,28590500,17463895,0
2021-06-23,29099499,18006199,0
2021-06-24,29520484,18350137,0
2021-06-25,29847977,18634875,0
2021-06-26,30009547,18863087,0
2021-06-27,30078813,18953253,0
2021-06-28,30385823,19126940,0
2021-06-29,30903150,19358590,0
2021-06-30,31510606,19566228,0
2021-07-01,31960060,19686818,0
2021-07-02,32397097,19755489,0
2021-07-03,32397097,19755489,0
2021-07-04,32575554,19829015,0
2021-07-05,33002466,19937022,0
2021-07-06,33691170,20040922,0
2021-07-07,34155903,20355222,0
2021-07-08,34627540,20548715,0
2021-07-09,35065569,20621383,0
2021-07-10,35287821,20736615,0
2021-07-11,35378414,20766146,0
2021-07-12,35728222,20945773,0
2021-07-13,36230549,21108633,0
2021-07-14,36789100,21274238,0
2021-07-15,37307725,21396576,0
2021-07-16,37759104,21525199,0
2021-07-17,38029139,21626694,0
2021-07-18,38222492,21700199,0
2021-07-19,38222492,21700199,0
2021-07-20,38507285,21996462,0
2021-07-21,39043948,22290247,0
2021-07-22,39725060,22613981,0
2021-07-23,40632434,23121276,0
2021-07-24,41539250,23602901,0
2021-07-25,42180955,23955609,0
2021-07-26,42429051,24048259,0
2021-07-27,43089310,24428264,0
2021-07-28,44188943,24856170,0
2021-07-29,45066028,25205090,0
2021-07-30,45952314,25511123,0
2021-07-31,46866125,25727786,0
2021-08-01,47463637,25792543,0
2021-08-02,47690704,25808916,0
2021-08-03,48095458,25912407,0
2021-08-04,48616734,26152992,0
2021-08-05,49299175,26503580,0
2021-08-06,49994722,26834257,0
2021-08-07,49994722,26834257,0
2021-08-08,50571586,27134249,0
2021-08-09,50835215,27363404,0
2021-08-10,51061391,27502230,0
2021-08-11,51404453,27677695,0
2021-08-12,51914599,28011649,0
2021-08-13,52624341,28384141,0
2021-08-14,53298457,28746570,0
2021-08-15,53837225,29046598,0
2021-08-16,54305039,29239686,0
2021-08-17,54532420,29402096,0
2021-08-18,55307523,29903441,0
2021-08-19,55643238,30219721,0
2021-08-20,55928566,30490131,0
2021-08-21,56165373,30746818,0
2021-08-22,56277083,30919930,0
2021-08-23,56409551,30991824,0
2021-08-24,56575083,31219643,0
2021-08-25,56742139,31703790,0
2021-08-26,56925095,32278249,0
2021-08-27,57164235,32801616,0
2021-08-28,57343646,33220439,0
2021-08-29,57440626,33489676,0
2021-08-30,57547462,33620717,0
2021-08-31,57798967,33922392,0
2021-09-01,58008815,34282292,0
2021-09-02,58238589,34656277,0
2021-09-03,58238589,34656277,0
2021-09-04,58749621,35425324,0
2021-09-05,58906303,35623880,0
2021-09-06,59059884,35813552,0
2021-09-07,59334972,36190731,0
2021-09-08,59334972,36190731,0
2021-09-09,59614774,36864200,0
2021-09-10,60186714,38161378,0
2021-09-11,60468615,38782067,0
2021-09-12,60759845,39070943,0
2021-09-13,60921470,39319931,0
2021-09-14,61175097,39850745,0
2021-09-15,61407799,40532869,0
2021-09-16,61573170,40997724,0
2021-09-17,61616895,41115211,0
2021-09-18,61886401,41463209,0
2021-09-19,62089019,41698947,0
2021-09-20,62254786,41918336,0
2021-09-21,62466037,42200082,0
2021-09-22,62692366,42715579,0
2021-09-23,62911164,43248659,0
2021-09-24,63125382,43820430,0
2021-09-25,63317849,44278675,0
2021-09-26,63396136,44511000,0
2021-09-27,63473608,44626347,0
2021-09-28,63550739,44902572,0
2021-09-29,63719420,45284037,0
2021-09-30,63913428,45572525,0
2021-10-01,63913428,45572525,0
2021-10-02,64048979,45794439,0
2021-10-03,64048979,45794439,0
2021-10-04,64323090,46054543,0
2021-10-05,64323090,46054543,0
2021-10-06,65692031,46309831,0
2021-10-07,65879194,46986802,0
2021-10-08,66049447,47692378,0
2021-10-09,66225915,48166370,0
2021-10-10,66324955,48166370,0
2021-10-11,66680553,48482445,0
2021-10-12,66900796,48874683,0
2021-10-13,66900796,48874683,0
2021-10-14,67340974,49588993,0
2021-10-15,67340974,49588993,0
2021-10-16,67340974,49588993,0
2021-10-17,67957153,50772621,0
2021-10-18,69105502,51291609,0
2021-10-19,69301136,51521552,0
2021-10-20,69478811,51763221,0
2021-10-21,69612911,52117827,0
2021-10-22,69724549,52499013,0
2021-10-23,69879788,52949966,0
2021-10-24,69974180,53487503,0
2021-10-25,70049066,53853917,0
2021-10-26,70996565,54683434,0
2021-10-27,70996565,54683434,0
2021-10-28,70996565,54683434,0
2021-10-29,71366205,55942853,0
2021-10-30,74560444,60366148,0
2021-10-31,74607721,60565545,0
2021-11-01,74634486,60629516,0
2021-11-02,74634486,60629516,0
2021-11-03,74642433,60714988,0
2021-11-04,74687340,61036413,0
2021-11-05,74687340,61036413,0
2021-11-06,74687340,61036413,0
2021-11-07,74937548,62164245,0
2021-11-08,74953313,62264479,0
2021-11-09,74953313,62264479,0
2021-11-10,75170848,62684986,0
2021-11-11,75260370,62881897,0
2021-11-12,75260370,62881897,0
2021-11-13,75260370,62881897,0
2021-11-14,75439928,63353433,0
2021-11-15,75455207,63394870,0
2021-11-16,75459027,63407243,0
2021-11-17,75497762,63495569,0
2021-11-18,75577084,63690510,0
2021-11-19,75577084,63690510,0
2021-11-20,75785054,64131916,0
2021-11-21,75862107,64249748,0
2021-11-22,75896683,64317192,0
2021-11-23,75896683,64317192,0
2021-11-24,76046332,64502180,0
2021-11-25,76164064,64618673,0
2021-11-26,76164064,64618673,0
2021-11-27,76480431,64830452,0
2021-11-28,76609987,64922896,0
2021-11-29,76685147,64971111,0
2021-11-30,76845255,65038728,0
2021-12-01,77011430,65089672,0
2021-12-02,77366309,65166868,0
2021-12-03,77366309,65166868,0
2021-12-04,77366309,65166868,0
2021-12-05,78268776,65422436,0
2021-12-06,78268776,65422436,0
2021-12-07,78268776,65422436,0
2021-12-08,78816099,65543077,0
2021-12-09,79202068,65630611,0
2021-12-10,79202068,65630611,0
2021-12-11,80191983,66003384,0
2021-12-12,80388496,66150375,0
2021-12-13,80503005,66225140,0
2021-12-14,80503005,66225140,0
2021-12-15,81770394,66459570,0
2021-12-16,81785946,66586509,0
2021-12-17,81785946,66586509,0
2021-12-18,81785946,66586509,0
2021-12-19,81810589,66740075,0
2021-12-20,81913687,72694585,0
2021-12-21,81913687,72694585,0
2021-12-22,81913687,72694585,0
2021-12-23,81913687,72694585,0
2021-12-24,81914654,72699095,0
2021-12-25,81914654,72699095,0
2021-12-26,81914654,72699095,0
2021-12-27,81914654,72699095,0
2021-12-28,81915851,72751888,0
2021-12-29,81915851,72751888,0
2021-12-30,81916007,72780356,0
2021-12-31,81916007,72780356,0
2022-01-01,81916351,72846741,0
2022-01-02,81916395,72849124,0
2022-01-03,81916418,72849255,0
2022-01-04,82091136,72881907,0
2022-01-05,82114490,72979978,0
2022-01-06,82152852,73347525,0
2022-01-07,82152852,73347525,0
2022-01-08,82350939,73840012,0
2022-01-09,82407688,74053608,0
2022-01-10,82425639,74107031,0
2022-01-11,82482249,74236740,0
2022-01-12,82482249,74236740,0
2022-01-13,82626877,74761824,0
2022-01-14,82725740,75060397,0
2022-01-15,82815932,75374678,0
2022-01-16,82898265,75617241,0
2022-01-17,82898265,75617241,0
2022-01-18,82952806,75809119,0
2022-01-19,83002950,76006592,0
2022-01-20,83049588,76179149,0
2022-01-21,83159111,76345784,0
2022-01-22,83159111,76345784,0
2022-01-23,83323226,76519923,0
2022-01-24,83329994,76560077,0
2022-01-25,83349759,76618411,0
2022-01-26,83386735,76701452,0
2022-01-27,83510659,76941127,0
2022-01-28,83510659,76941127,0
2022-01-29,83510659,76941127,0
2022-01-30,83612558,77129336,0
2022-01-31,83620573,77159476,0
2022-02-01,83651266,77242259,0
2022-02-02,83683108,77298207,0
2022-02-03,83729127,77378510,0
2022-02-04,83812313,77478070,0
2022-02-05,83812313,77478070,0
2022-02-06,83893768,77601746,0
2022-02-07,83903511,77614361,0
2022-02-08,83917663,77632311,0
2022-02-09,83936198,77659769,0
2022-02-10,83967069,77705833,0
2022-02-11,84016011,77809539,0
2022-02-12,84064526,77885188,0
2022-02-13,84097727,77924179,0
2022-02-14,84112878,77952732,0
2022-02-15,84765334,78499390,0
2022-02-16,84782507,78528456,0
2022-02-17,84920810,78556148,0
2022-02-18,84958858,78569196,0
2022-02-19,84958858,78569196,0
2022-02-20,85041305,78663516,0
2022-02-21,85050217,78680575,0
2022-02-22,85050217,78680575,0
2022-02-23,85083649,78750047,0
2022-02-24,85113370,78798251,0
2022-02-25,85113370,78798251,0
2022-02-26,85113370,78798251,0
2022-02-27,85179352,78888689,0
2022-02-28,85192820,78915838,0
2022-03-01,85238025,78945844,0
2022-03-02,85261393,78987826,0
2022-03-03,85292153,79014513,0
2022-03-04,85315634,79050604,0
2022-03-05,85315634,79050604,0
2022-03-06,85340303,79110688,0
2022-03-07,85340303,79110688,0
2022-03-08,85351315,79157987,0
2022-03-09,85359340,79199042,0
2022-03-10,85376554,79235679,0
2022-03-11,85376554,79235679,0
2022-03-12,85413399,79345826,0
2022-03-13,85413399,79345826,0
2022-03-14,85436974,79380412,0
2022-03-15,85452359,79411249,0
2022-03-16,85465067,79433093,0
2022-03-17,85476366,79459368,0
2022-03-18,85502104,79496022,0
2022-03-19,85502104,79496022,0
2022-03-20,85528952,79537014,0
2022-03-21,85531580,79546420,0
2022-03-22,85533607,79548382,0
2022-03-23,85538032,79562871,0
2022-03-24,85538032,79562871,0
2022-03-25,85556080,79625736,0
2022-03-26,85566651,79662373,0
2022-03-27,85573127,79686428,0
2022-03-28,85575818,79693409,0
2022-03-29,85580293,79711762,0
2022-03-30,85580293,79711762,0
2022-03-31,85580293,79711762,0
2022-04-01,85580293,79711762,0
2022-04-02,85580293,79711762,0
2022-04-03,85580293,79711762,0
2022-04-04,85580293,79711762,0
2022-04-05,85580293,79711762,0
2022-04-06,85580293,79711762,0
2022-04-07,85580293,79711762,0
2022-04-08,85580293,79711762,0
2022-04-09,85580293,79711762,0
2022-04-10,85580293,79711762,0
2022-04-11,85580293,79711762,0
2022-04-12,85580293,79711762,0
2022-04-13,85689086,79919412,0
2022-04-14,85689086,79919412,0
2022-04-15,85689086,79919412,0
2022-04-16,85689086,79919412,0
2022-04-17,85708849,79945002,0
2022-04-18,85708849,79945002,0
2022-04-19,85708849,79945002,0
2022-04-20,85722750,79945002,43248573
2022-04-21,85745934,79945002,43758721
2022-04-22,85767339,79945002,44213119
2022-04-23,85767339,79945002,44213119
2022-04-24,85793297,79945002,44986463
2022-04-25,85797486,79945002,45134105
2022-04-26,85797486,79945002,45134105
2022-04-27,85797486,79945002,45134105
2022-04-28,85797486,79945002,45134105
2022-04-29,85797486,79945002,45134105
2022-04-30,85797486,79945002,45134105
2022-05-01,85797486,79945002,45134105
2022-05-02,85797486,79945002,45134105
2022-05-03,85797486,79945002,45134105
2022-05-04,85797486,79945002,45134105
2022-05-05,85797486,79945002,45134105
2022-05-06,85904997,79947470,48258084
2022-05-07,85904997,79947470,48258084
2022-05-08,85904997,79947470,48258084
2022-05-09,85904997,79947470,48258084
2022-05-10,85904997,79947470,48258084
2022-05-11,85904997,79947470,48258084
2022-05-12,85904997,79947470,48258084
2022-05-13,85923271,79947470,52940036
2022-05-14,85923271,79947470,52940036
2022-05-15,85923271,79947470,52940036
2022-05-16,86858994,79947470,53001421
2022-05-17,86858994,79947470,53001421
2022-05-18,86858994,79947470,53001421
2022-05-19,86858994,79947470,53001421
2022-05-20,86858994,79947470,53001421
2022-05-21,86858994,79947470,53001421
2022-05-22,86858994,79947470,53001421
2022-05-23,86858994,79947470,53001421
2022-05-24,86858994,79947470,53001421
2022-05-25,86858994,79947470,53001421
