Year,Fecha,Lugar,Porcentaje
2020,2020-02-15,Supermercado,4.65625
2020,2020-02-16,Supermercado,5.125
2020,2020-02-17,Supermercado,2.59375
2020,2020-02-18,Supermercado,-0.53125
2020,2020-02-19,Supermercado,-0.71875
2020,2020-02-20,Supermercado,-1.0625
2020,2020-02-21,Supermercado,-1.75
2020,2020-02-22,Supermercado,0.1875
2020,2020-02-23,Supermercado,0.96875
2020,2020-02-24,Supermercado,-1.3125
2020,2020-02-25,Supermercado,-1.90625
2020,2020-02-26,Supermercado,-2.84375
2020,2020-02-27,Supermercado,0.09375
2020,2020-02-28,Supermercado,5.875
2020,2020-02-29,Supermercado,8.40625
2020,2020-03-01,Supermercado,8
2020,2020-03-02,Supermercado,4.375
2020,2020-03-03,Supermercado,2.03125
2020,2020-03-04,Supermercado,2.6875
2020,2020-03-05,Supermercado,1.8125
2020,2020-03-06,Supermercado,0.25
2020,2020-03-07,Supermercado,1.46875
2020,2020-03-08,Supermercado,1.96875
2020,2020-03-09,Supermercado,-6.21875
2020,2020-03-10,Supermercado,0.09375
2020,2020-03-11,Supermercado,0.28125
2020,2020-03-12,Supermercado,2.34375
2020,2020-03-13,Supermercado,7
2020,2020-03-14,Supermercado,11.875
2020,2020-03-15,Supermercado,8.71875
2020,2020-03-16,Supermercado,5.90625
2020,2020-03-17,Supermercado,5.8125
2020,2020-03-18,Supermercado,2.1875
2020,2020-03-19,Supermercado,0.4375
2020,2020-03-20,Supermercado,-2.90625
2020,2020-03-21,Supermercado,-6.5625
2020,2020-03-22,Supermercado,-15.03125
2020,2020-03-23,Supermercado,-14.875
2020,2020-03-24,Supermercado,-16.34375
2020,2020-03-25,Supermercado,-18.0625
2020,2020-03-26,Supermercado,-18.28125
2020,2020-03-27,Supermercado,-16.875
2020,2020-03-28,Supermercado,-14.84375
2020,2020-03-29,Supermercado,-21.09375
2020,2020-03-30,Supermercado,-16.8125
2020,2020-03-31,Supermercado,-15.4375
2020,2020-04-01,Supermercado,-14.1875
2020,2020-04-02,Supermercado,-13.6875
2020,2020-04-03,Supermercado,-12.28125
2020,2020-04-04,Supermercado,-12.4375
2020,2020-04-05,Supermercado,-21.3125
2020,2020-04-06,Supermercado,-16.875
2020,2020-04-07,Supermercado,-18.34375
2020,2020-04-08,Supermercado,-15.25
2020,2020-04-09,Supermercado,-17.625
2020,2020-04-10,Supermercado,-31.5
2020,2020-04-11,Supermercado,-27.40625
2020,2020-04-12,Supermercado,-31.03125
2020,2020-04-13,Supermercado,-21.59375
2020,2020-04-14,Supermercado,-20.5
2020,2020-04-15,Supermercado,-14.875
2020,2020-04-16,Supermercado,-16.84375
2020,2020-04-17,Supermercado,-19
2020,2020-04-18,Supermercado,-24.3125
2020,2020-04-19,Supermercado,-30.6875
2020,2020-04-20,Supermercado,-26.5
2020,2020-04-21,Supermercado,-28.96875
2020,2020-04-22,Supermercado,-28.8125
2020,2020-04-23,Supermercado,-29.09375
2020,2020-04-24,Supermercado,-28.65625
2020,2020-04-25,Supermercado,-27.90625
2020,2020-04-26,Supermercado,-33.96875
2020,2020-04-27,Supermercado,-29.71875
2020,2020-04-28,Supermercado,-28.625
2020,2020-04-29,Supermercado,-22.625
2020,2020-04-30,Supermercado,-10.875
2020,2020-05-01,Supermercado,-23.65625
2020,2020-05-02,Supermercado,-22.09375
